fiscal_year,revenue,gross_profit,ebit,net_income,ebitda,interest_expense,income_tax,ebt,gross_margin_pct,ebit_margin_pct,tax_rate,depreciation_amortization,capex,change_in_nwc,free_cash_flow,current_assets,current_liabilities,total_debt,cash,total_equity,net_working_capital
2021,365817000000.0,152836000000.0,108949000000.0,94680000000.0,120233000000.0,2645000000.0,14527000000.0,109207000000.0,0.4177935962516778,0.29782377527561593,0.13302260844085087,11284000000.0,11085000000.0,-4911000000.0,92953000000.0,134836000000.0,125481000000.0,136522000000.0,34940000000.0,63090000000.0,9355000000.0
2021,365817000000.0,152836000000.0,108949000000.0,94680000000.0,120233000000.0,2645000000.0,14527000000.0,109207000000.0,0.4177935962516778,0.29782377527561593,0.13302260844085087,11284000000.0,11085000000.0,-4911000000.0,92953000000.0,,,,,,
2021,365817000000.0,152836000000.0,108949000000.0,94680000000.0,120233000000.0,2645000000.0,14527000000.0,109207000000.0,0.4177935962516778,0.29782377527561593,0.13302260844085087,,,,,134836000000.0,125481000000.0,136522000000.0,34940000000.0,63090000000.0,9355000000.0
2021,365817000000.0,152836000000.0,108949000000.0,94680000000.0,120233000000.0,2645000000.0,14527000000.0,109207000000.0,0.4177935962516778,0.29782377527561593,0.13302260844085087,,,,,,,,,,
2021,,,,,,2645000000.0,,,,,,11284000000.0,11085000000.0,-4911000000.0,92953000000.0,134836000000.0,125481000000.0,136522000000.0,34940000000.0,63090000000.0,9355000000.0
2021,,,,,,2645000000.0,,,,,,11284000000.0,11085000000.0,-4911000000.0,92953000000.0,,,,,,
2021,,,,,,2645000000.0,,,,,,,,,,134836000000.0,125481000000.0,136522000000.0,34940000000.0,63090000000.0,9355000000.0
2021,,,,,,2645000000.0,,,,,,,,,,,,,,,
2022,394328000000.0,170782000000.0,119437000000.0,99803000000.0,130541000000.0,2931000000.0,19300000000.0,119103000000.0,0.43309630561360085,0.30288744395528594,0.16204461684424407,11104000000.0,10708000000.0,,111443000000.0,135405000000.0,153982000000.0,132480000000.0,23646000000.0,50672000000.0,-18577000000.0
2023,383285000000.0,169148000000.0,114301000000.0,96995000000.0,125820000000.0,3933000000.0,16741000000.0,113736000000.0,0.4413112957720756,0.2982141226502472,0.14719174228036858,11519000000.0,10959000000.0,,99584000000.0,143566000000.0,145308000000.0,111088000000.0,29965000000.0,62146000000.0,-1742000000.0
2024,391035000000.0,180683000000.0,123216000000.0,93736000000.0,134661000000.0,,29749000000.0,123485000000.0,0.4620634981523393,0.31510222870075566,0.24091185164189982,11445000000.0,9447000000.0,,108807000000.0,152987000000.0,176392000000.0,106629000000.0,29943000000.0,56950000000.0,-23405000000.0
2025,416161000000.0,195201000000.0,133050000000.0,112010000000.0,144748000000.0,,20719000000.0,132729000000.0,0.4690516410716045,0.31970799762591884,0.15610002335586043,11698000000.0,12715000000.0,,98767000000.0,147957000000.0,165631000000.0,98657000000.0,35934000000.0,73733000000.0,-17674000000.0
